page	part_number	quantity	description
239	M-3917	1	Front towing bracket.
239	M-3918	1	Back towing bracket.
239	M-3919	2	Side towing bracket.
239	M-3920	4	Towing shackle pin.
239	M-3921	8	Nut for shackle pin.
239	D14/21202	4	Towing shackle (standard).
239	M-3922	1	Roof towing bracket.
239	M-3923	1	Roof towing bracket cap.
239	M-3883	1	Gear-wheel supporting bracket.
239	M-3884	1	Gear-wheel journal bolt.
239	M-3885	1	Gear wheel.
239	M-3886	1	Gear pinion.
239	M-3887	1	Crank pin.
239	M-3888	1	Coupling rod end.
239	M-3889	1	Dowel for gear pinion.
239	M-3890	1	Fixing pin for gear pinion.
239	M-3891	1	Packing piece for gear wheel—supporting bracket.
239	M-3892	1	Yardometer supporting bracket.
239	M-3893	1	Yardometer connecting rod.
